epoch,step,test_loss,test_pcc,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,42,,,,,1.3262739181518555,0.17781615257263184
0,42,,,1.4697555303573608,-0.01943078078329563,,
1,85,,,,,1.321743130683899,0.32894468307495117
1,85,,,1.3821349143981934,0.21662874519824982,,
2,128,,,,,1.297777533531189,0.33881112933158875
2,128,,,1.3022172451019287,0.3511848747730255,,
3,171,,,,,1.3087319135665894,0.4193819761276245
3,171,,,1.2674260139465332,0.3802105188369751,,
4,214,,,,,1.316954255104065,0.4295615553855896
4,214,,,1.2183867692947388,0.4329013526439667,,
5,257,,,,,1.293648362159729,0.4987940788269043
5,257,,,1.1768044233322144,0.4258948564529419,,
6,300,,,,,1.2431527376174927,0.5417054295539856
6,300,,,1.1407586336135864,0.47156161069869995,,
7,343,,,,,1.3047796487808228,0.5174880027770996
7,343,,,1.1612788438796997,0.5114999413490295,,
8,386,,,,,1.259550929069519,0.5257440805435181
8,386,,,1.152811884880066,0.48261144757270813,,
9,429,,,,,1.2521997690200806,0.5356915593147278
9,429,,,1.1291850805282593,0.5154929161071777,,
10,472,,,,,1.2283282279968262,0.5208473205566406
10,472,,,1.1746948957443237,0.5143818259239197,,
11,515,,,,,1.2773547172546387,0.5171344876289368
11,515,,,1.1385852098464966,0.5436878800392151,,
12,558,,,,,1.1866686344146729,0.5513314604759216
12,558,,,1.0637593269348145,0.5655025243759155,,
13,601,,,,,1.273630142211914,0.513765811920166
13,601,,,1.1112695932388306,0.5702105164527893,,
14,644,,,,,1.2461715936660767,0.5233304500579834
14,644,,,1.0747681856155396,0.5861724019050598,,
15,687,,,,,1.2741553783416748,0.5138310194015503
15,687,,,1.0407719612121582,0.6011388301849365,,
16,730,,,,,1.2576709985733032,0.493730366230011
16,730,,,1.0539594888687134,0.5682928562164307,,
17,773,,,,,1.205980658531189,0.5181372165679932
17,773,,,1.0501561164855957,0.611508846282959,,
18,816,,,,,1.2358534336090088,0.5113410949707031
18,816,,,1.0507235527038574,0.6022210717201233,,
19,859,,,,,1.2016199827194214,0.516312837600708
