epoch,step,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,40,,,1.5539095401763916,0.2798515558242798
0,40,1.248987078666687,-0.0033533982932567596,,
1,81,,,1.4072189331054688,0.2937624156475067
1,81,1.1350183486938477,0.02439841441810131,,
2,122,,,1.3944236040115356,0.34765979647636414
2,122,1.1287031173706055,0.003639392787590623,,
3,163,,,1.3778619766235352,0.35241901874542236
3,163,1.1106218099594116,0.06017989665269852,,
4,204,,,1.3531272411346436,0.3091316819190979
4,204,1.076339602470398,0.19020551443099976,,
5,245,,,1.3784741163253784,0.2885844111442566
5,245,1.027515172958374,0.2354612648487091,,
6,286,,,1.3525516986846924,0.25901705026626587
6,286,1.0316334962844849,0.2963593602180481,,
7,327,,,1.37005615234375,0.2544247806072235
7,327,1.0158189535140991,0.34306055307388306,,
8,368,,,1.3295644521713257,0.273959219455719
8,368,0.962131679058075,0.39644935727119446,,
9,409,,,1.3626673221588135,0.2829332947731018
9,409,0.9644282460212708,0.36718475818634033,,
10,450,,,1.3482736349105835,0.3206579387187958
10,450,0.9686103463172913,0.43396711349487305,,
11,491,,,1.3421577215194702,0.32215890288352966
11,491,0.9337629079818726,0.45162880420684814,,
12,532,,,1.348465085029602,0.3484651446342468
12,532,0.9611809253692627,0.4883149266242981,,
13,573,,,1.317478895187378,0.36030885577201843
13,573,0.9037595391273499,0.5256011486053467,,
14,614,,,1.3312166929244995,0.38179802894592285
14,614,0.9139571785926819,0.477855920791626,,
15,655,,,1.3376622200012207,0.3865991234779358
15,655,0.9506303071975708,0.44187527894973755,,
16,696,,,1.3332374095916748,0.3986254036426544
16,696,0.9346776604652405,0.49894073605537415,,
17,737,,,1.3330920934677124,0.4151560068130493
17,737,0.9198986887931824,0.46724218130111694,,
18,778,,,1.328247308731079,0.4156982898712158
18,778,0.9072939157485962,0.46243923902511597,,
19,819,,,1.3081130981445312,0.4242902100086212
19,819,0.8962640762329102,0.5433709621429443,,
