PCC	Loss
0.21581892669200897	7.040043830871582
0.3909424841403961	2.980323076248169
0.11620130389928818	7.557971000671387
0.3944444954395294	1.1376157999038696
0.4893961548805237	3.267754077911377
0.44872021675109863	1.1388180255889893
0.36842724680900574	6.447490692138672
0.3540513813495636	4.475045204162598
0.36311066150665283	3.29038143157959
0.09199842810630798	4.960995674133301
0.299262136220932	1.2373831272125244
0.15407954156398773	7.005723476409912
0.10571734607219696	7.283229827880859
0.2314738780260086	2.9406614303588867
0.49903011322021484	3.0185132026672363
0.36238041520118713	1.7170637845993042
0.34813645482063293	1.2203598022460938
0.33337509632110596	1.9154722690582275
0.3133302628993988	4.656373023986816
0.3172513246536255	1.7308510541915894
