run	train_pcc_best_epoch	train_pcc_last_epoch	val_pcc_best_epoch	val_pcc_last_epoch	test_pcc_best_epoch	test_pcc_last_epoch
1	0.7083677241760074	0.7370773840366076	0.4727336672521737	0.43997576755043566	0.06814416829764999	0.0840433841229243
2	0.7120225478600775	0.7635706962068174	0.22899835496064674	0.10722678750734978	0.4469104259082409	0.4215340423011501
3	0.7199527423243672	0.7433823611667412	0.44330665372461314	0.4182474107610304	0.1381721191149464	0.07504709595194244
4	0.714118253597001	0.7270708906886372	0.23756976089552193	0.07204557111107654	0.43229679200523463	0.4071572525900931
5	0.3712340719574029	0.7455049930889036	0.47578138708244927	0.40114929553463397	0.4896417214017952	0.42529834624010526
6	0.5519014759089623	0.6993062666142629	0.52112133071903	0.4224361886574993	0.46950450605822475	0.3936520960177355
7	0.5032521635830899	0.7613983555804875	0.4232937827369602	0.31065799398919297	0.3798654077048733	0.262206405642302
8	0.7045816135649897	0.7265298224960822	0.4350926088773351	0.3482212510815521	0.3603096234820818	0.324257263932261
9	0.6577163814867664	0.7220711122869399	0.3710323163534947	0.3622903327097502	0.41857856338052046	0.41423306735697796
10	0.6436111372031614	0.7596269726731667	0.4943274561230928	0.3882162397061318	0.33324978167404673	0.35429562785869595
11	0.39659410481837337	0.7377957219812864	0.32939601121920026	0.3138602203535593	0.4470012885228081	0.4186694588348951
12	0.5349778565652428	0.727869295779635	0.4548806438991138	0.38987009866296696	0.32058095712606	0.34280188779648346
13	0.4848551908270521	0.7665035651932732	0.3498663298388245	0.32776815732554543	0.1075976630270354	0.0752173501456526
14	0.7987293233184287	0.7593318302279123	0.21543282855441082	0.18942746000186245	0.31755569545595774	0.3122765435270976
15	0.5158558074525919	0.7728860527708523	0.38733683485232856	0.2590229121545636	0.4977033576149888	0.3537403595110666
16	0.5005929631780333	0.7546874207317801	0.4962893293781825	0.3716941527672484	0.35909349996325024	0.25807819867070025
17	0.5075370892637342	0.7836490860834889	0.36304887428837956	0.2718216558233704	0.36523336908317816	0.2968194381119323
18	0.470230298638516	0.7322594008274462	0.36303340053196725	0.22229456406141984	0.3684551076905721	0.27476325780660643
19	0.45764688495136163	0.7800718074776546	0.4096589789211124	0.3248697416841227	0.34652154088638154	0.2975538476862468
20	0.49716979635674863	0.7638429314385847	0.3333749527978961	0.32429774735842887	0.4075183799241692	0.3390333326830702
