	Run	best_epoch	PCC_tr_best	MSE_tr_best	PCC_v_best	MSE_v_best	PCC_test_best	MSE_test_best	last_epoch	PCC_tr_last	MSE_tr_last	PCC_v_last	MSE_v_last	PCC_test_last	MSE_test_last
0	1	589	0.7083677241760074	7.6923127567406855	0.4727336672521737	2.7230431355052342	0.06814416829764999	7.6923127567406855	689	0.7370773840366076	1.1978361417192622	0.43997576755043566	2.8790174952624152	0.0840433841229243	7.687442434703339
1	2	327	0.7120225478600775	2.853382192031974	0.22899835496064674	7.046997780404957	0.4469104259082409	2.853382192031974	610	0.7635706962068174	1.1220141922196207	0.10722678750734978	7.625114100155374	0.4215340423011501	2.958816028948099
2	3	352	0.7199527423243672	7.3896915630152025	0.44330665372461314	0.9713140421206835	0.1381721191149464	7.3896915630152025	620	0.7433823611667412	1.5999359134865963	0.4182474107610304	1.079903061800181	0.07504709595194244	7.786187779807475
3	4	219	0.714118253597001	0.9821935645680666	0.23756976089552193	6.955564702324433	0.43229679200523463	0.9821935645680666	737	0.7270708906886372	1.6818145875678505	0.07204557111107654	7.733331055884705	0.4071572525900931	1.047483236967341
4	5	18	0.3712340719574029	3.10908118702307	0.47578138708244927	0.9044751910021632	0.4896417214017952	3.10908118702307	659	0.7455049930889036	2.0737172872946377	0.40114929553463397	1.1842851555876537	0.42529834624010526	2.98373488640948
5	6	46	0.5519014759089623	0.9703489290220539	0.52112133071903	2.6588353283959045	0.46950450605822475	0.9703489290220539	766	0.6993062666142629	2.371322475493732	0.4224361886574993	3.0279727045193274	0.3936520960177355	1.104348250263894
6	7	28	0.5032521635830899	6.388794413104884	0.4232937827369602	4.016651929606655	0.3798654077048733	6.388794413104884	601	0.7613983555804875	0.9159320083673185	0.31065799398919297	4.507263427760047	0.262206405642302	6.857217299583421
7	8	248	0.7045816135649897	4.446933078285826	0.4350926088773351	5.97369259653518	0.3603096234820818	4.446933078285826	638	0.7265298224960822	1.0392200304369692	0.3482212510815521	6.466366606912527	0.324257263932261	4.5156732259788726
8	9	467	0.6577163814867664	3.057259951560937	0.3710323163534947	4.399331692935109	0.41857856338052046	3.057259951560937	661	0.7220711122869399	1.6163789363079724	0.3622903327097502	4.69523721230534	0.41423306735697796	3.2108295891489056
9	10	81	0.6436111372031614	4.613521388682505	0.4943274561230928	2.8575843493600566	0.33324978167404673	4.613521388682505	685	0.7596269726731667	1.5397767811197256	0.3882162397061318	3.152219093505586	0.35429562785869595	4.621600889531662
10	11	17	0.39659410481837337	0.9486594281112426	0.32939601121920026	4.396445594523072	0.4470012885228081	0.9486594281112426	622	0.7377957219812864	2.0387232168284393	0.3138602203535593	4.748009624793273	0.4186694588348951	1.0582649765629837
11	12	72	0.5349778565652428	4.863301661718087	0.4548806438991138	0.9268903821770113	0.32058095712606	4.863301661718087	639	0.727869295779635	1.9944336138651435	0.38987009866296696	1.1437080461537483	0.34280188779648346	4.965447024051838
12	13	21	0.4848551908270521	7.357250333713945	0.3498663298388245	1.609140736726751	0.1075976630270354	7.357250333713945	698	0.7665035651932732	1.2908611701301553	0.32776815732554543	2.3262024284084672	0.0752173501456526	8.107520845785222
13	14	638	0.7987293233184287	2.260418502093045	0.21543282855441082	7.282295628989238	0.31755569545595774	2.260418502093045	738	0.7593318302279123	1.3379682408551308	0.18942746000186245	7.431733022235296	0.3122765435270976	2.3036919062376597
14	15	25	0.5158558074525919	2.7408026667754473	0.38733683485232856	1.5319858796205692	0.4977033576149888	2.7408026667754473	662	0.7728860527708523	1.8385954519212195	0.2590229121545636	2.0652448755441846	0.3537403595110666	3.5208731337719468
15	16	24	0.5005929631780333	1.6016849875006216	0.4962893293781825	2.6946210914478708	0.35909349996325024	1.6016849875006216	641	0.7546874207317801	1.896445568433954	0.3716941527672484	3.4613413768659895	0.25807819867070025	2.1438197858998604
16	17	27	0.5075370892637342	1.0435182037651813	0.36304887428837956	1.5877537301958702	0.36523336908317816	1.0435182037651813	621	0.7836490860834889	1.9219408819406691	0.2718216558233704	2.130117760765363	0.2968194381119323	1.2550043115227578
17	18	28	0.470230298638516	1.557347225320803	0.36303340053196725	1.0222306170947144	0.3684551076905721	1.557347225320803	648	0.7322594008274462	2.4234160776464764	0.22229456406141984	1.4401729697887853	0.27476325780660643	2.16151348867506
18	19	15	0.45764688495136163	4.609102885393162	0.4096589789211124	1.491030350545398	0.34652154088638154	4.609102885393162	608	0.7800718074776546	1.6472070116087052	0.3248697416841227	1.976242036797244	0.2975538476862468	5.362192157551394
19	20	16	0.49716979635674863	1.5423447253104552	0.3333749527978961	4.346492994754463	0.4075183799241692	1.5423447253104552	622	0.7638429314385847	1.661808612765767	0.32429774735842887	5.071337572175083	0.3390333326830702	1.9629254992663512
