Run 105, Best epoch: 101, Best val_loss: 2.5592808723449707
Run 106, Best epoch: 54, Best val_loss: 2.2535276412963867
Run 107, Best epoch: 612, Best val_loss: 2.113124370574951
Run 108, Best epoch: 126, Best val_loss: 2.980787754058838
Run 109, Best epoch: 168, Best val_loss: 2.082407236099243
Run 110, Best epoch: 630, Best val_loss: 2.9574673175811768
Run 111, Best epoch: 461, Best val_loss: 2.0742011070251465
Run 112, Best epoch: 139, Best val_loss: 1.9590272903442383
Run 113, Best epoch: 94, Best val_loss: 2.1979246139526367
Run 114, Best epoch: 272, Best val_loss: 2.7727062702178955
Run 115, Best epoch: 157, Best val_loss: 2.694045305252075
Run 116, Best epoch: 116, Best val_loss: 2.0855443477630615
Run 117, Best epoch: 50, Best val_loss: 2.0470335483551025
Run 118, Best epoch: 122, Best val_loss: 1.8826125860214233
Run 119, Best epoch: 73, Best val_loss: 2.2407047748565674
Run 120, Best epoch: 314, Best val_loss: 3.0455448627471924
Run 121, Best epoch: 114, Best val_loss: 2.2930777072906494
Run 122, Best epoch: 50, Best val_loss: 3.518089532852173
Run 123, Best epoch: 471, Best val_loss: 2.3957324028015137
Run 124, Best epoch: 183, Best val_loss: 2.307230234146118
Run 125, Best epoch: 472, Best val_loss: 2.0703365802764893
Run 126, Best epoch: 530, Best val_loss: 2.2825701236724854
Run 127, Best epoch: 250, Best val_loss: 2.2021586894989014
Run 128, Best epoch: 419, Best val_loss: 2.726625442504883
Run 129, Best epoch: 221, Best val_loss: 2.542271375656128
Run 130, Best epoch: 91, Best val_loss: 2.2164876461029053
Run 131, Best epoch: 654, Best val_loss: 2.151813268661499
Run 132, Best epoch: 385, Best val_loss: 2.53411602973938
Run 133, Best epoch: 22, Best val_loss: 2.274736166000366
Run 134, Best epoch: 21, Best val_loss: 2.2019221782684326
Run 135, Best epoch: 184, Best val_loss: 2.0500874519348145
Run 136, Best epoch: 363, Best val_loss: 2.1307058334350586
Run 137, Best epoch: 240, Best val_loss: 2.150348663330078
Run 138, Best epoch: 83, Best val_loss: 3.321179151535034
Run 139, Best epoch: 161, Best val_loss: 2.5581209659576416
Run 140, Best epoch: 142, Best val_loss: 2.6137726306915283
Run 141, Best epoch: 19, Best val_loss: 2.595294713973999
Run 142, Best epoch: 52, Best val_loss: 2.315859794616699
Run 143, Best epoch: 466, Best val_loss: 2.2520194053649902
Run 144, Best epoch: 555, Best val_loss: 2.2345263957977295
Run 145, Best epoch: 236, Best val_loss: 2.938493013381958
Run 146, Best epoch: 203, Best val_loss: 2.3056163787841797
Run 147, Best epoch: 281, Best val_loss: 2.9397926330566406
Run 148, Best epoch: 555, Best val_loss: 3.276157855987549
Run 149, Best epoch: 312, Best val_loss: 2.374337911605835
Run 150, Best epoch: 368, Best val_loss: 2.2506680488586426
Run 151, Best epoch: 76, Best val_loss: 2.358762264251709
Run 152, Best epoch: 36, Best val_loss: 2.4010698795318604
Run 153, Best epoch: 225, Best val_loss: 2.44938063621521
Run 154, Best epoch: 518, Best val_loss: 2.1790637969970703
Run 155, Best epoch: 205, Best val_loss: 3.1364121437072754
Run 156, Best epoch: 13, Best val_loss: 2.658052682876587
Run 157, Best epoch: 64, Best val_loss: 2.9773354530334473
Run 158, Best epoch: 179, Best val_loss: 2.1847431659698486
Run 159, Best epoch: 392, Best val_loss: 2.9690661430358887
Run 160, Best epoch: 737, Best val_loss: 2.7146079540252686
Run 161, Best epoch: 207, Best val_loss: 3.0882163047790527
Run 162, Best epoch: 184, Best val_loss: 2.463104724884033
Run 163, Best epoch: 122, Best val_loss: 2.9662535190582275
Run 164, Best epoch: 209, Best val_loss: 2.7176027297973633
