PCC	Loss
-0.002111883368343115	7.64780855178833
0.22144027054309845	3.422557830810547
0.13358445465564728	7.227811813354492
0.38844767212867737	1.1707689762115479
0.5003345608711243	2.882028579711914
0.46587124466896057	1.0114223957061768
0.41682079434394836	6.355915069580078
0.3793962299823761	4.286147594451904
0.3976735770702362	3.1969540119171143
0.23155060410499573	4.906451225280762
0.3816066384315491	1.0932422876358032
0.31544172763824463	4.736547470092773
0.0811748281121254	7.3446478843688965
0.2957182228565216	1.8884716033935547
0.472737580537796	2.827080011367798
0.34654372930526733	1.586802363395691
0.3701981008052826	1.1660661697387695
0.2849956452846527	1.8671835660934448
0.31876593828201294	4.486660003662109
0.39481812715530396	1.5657492876052856
