epoch,step,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,40,,,4.117339134216309,-0.003671668004244566
0,40,3.156578302383423,-0.06145748123526573,,
1,81,,,3.5882058143615723,0.118678018450737
1,81,2.8061883449554443,-0.007237960584461689,,
2,122,,,3.4664371013641357,0.22579793632030487
2,122,2.6892025470733643,0.13452205061912537,,
3,163,,,3.439877510070801,0.24838553369045258
3,163,2.420567512512207,0.2082781195640564,,
4,204,,,3.351710319519043,0.27010220289230347
4,204,2.258880138397217,0.275602787733078,,
5,245,,,3.3943004608154297,0.3050394058227539
5,245,2.407170295715332,0.27590376138687134,,
6,286,,,3.2528433799743652,0.32628801465034485
6,286,2.1970348358154297,0.37733832001686096,,
7,327,,,3.1971275806427,0.3514813780784607
7,327,2.0565779209136963,0.3950926661491394,,
8,368,,,3.236231803894043,0.36665061116218567
8,368,2.286067247390747,0.44768384099006653,,
9,409,,,3.0721359252929688,0.40609851479530334
9,409,2.0961661338806152,0.4098876714706421,,
10,450,,,3.23431658744812,0.4012216031551361
10,450,2.2528915405273438,0.4425152540206909,,
11,491,,,3.023668050765991,0.39625969529151917
11,491,2.0028820037841797,0.4671252965927124,,
12,532,,,3.1524386405944824,0.4038204252719879
12,532,2.2573602199554443,0.4225369095802307,,
13,573,,,3.194363594055176,0.4216165542602539
13,573,2.2036612033843994,0.4764767289161682,,
14,614,,,3.1113431453704834,0.4187632203102112
14,614,2.1653685569763184,0.49296244978904724,,
15,655,,,3.027296543121338,0.42327117919921875
15,655,2.0046305656433105,0.5291265249252319,,
16,696,,,3.046290397644043,0.4396485388278961
16,696,1.9062306880950928,0.5590482354164124,,
17,737,,,3.2254207134246826,0.4469883441925049
17,737,1.9111428260803223,0.47634315490722656,,
18,778,,,3.000406265258789,0.4501289129257202
18,778,2.264279365539551,0.48865482211112976,,
19,819,,,2.998798370361328,0.4555254280567169
19,819,2.0302541255950928,0.532843828201294,,
20,860,,,3.1307661533355713,0.45483729243278503
20,860,2.0653910636901855,0.5160268545150757,,
21,901,,,3.0069034099578857,0.4401057958602905
21,901,1.869895577430725,0.4974699318408966,,
22,942,,,3.0552737712860107,0.441046804189682
22,942,1.8679527044296265,0.5527111887931824,,
23,983,,,3.0803492069244385,0.4462657868862152
23,983,1.8468021154403687,0.531717836856842,,
24,1024,,,2.981265068054199,0.4566270709037781
24,1024,1.7271536588668823,0.5692655444145203,,
25,1065,,,2.9679489135742188,0.46294063329696655
25,1065,1.8650903701782227,0.5613768696784973,,
26,1106,,,2.898928642272949,0.4510633945465088
