epoch,step,test_loss,test_pcc,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,38,,,,,4.7669219970703125,0.37366172671318054
0,38,,,2.273488759994507,0.020776590332388878,,
1,77,,,,,4.683199882507324,0.42209774255752563
1,77,,,2.273414373397827,0.004642591346055269,,
2,116,,,,,4.8594441413879395,0.4131075441837311
2,116,,,2.1486377716064453,0.05280947685241699,,
3,155,,,,,4.757275104522705,0.39623916149139404
3,155,,,2.2708353996276855,0.07070035487413406,,
4,194,,,,,4.718220233917236,0.4013114273548126
4,194,,,2.095836639404297,0.09534360468387604,,
5,233,,,,,4.756496429443359,0.4010462760925293
5,233,,,2.093189239501953,0.11026962101459503,,
6,272,,,,,4.65648889541626,0.4005740284919739
6,272,,,2.07491135597229,0.11746108531951904,,
7,311,,,,,4.64185094833374,0.3982899785041809
7,311,,,2.123361349105835,0.19518804550170898,,
8,350,,,,,4.750016212463379,0.3933349549770355
8,350,,,2.0467309951782227,0.2060503363609314,,
9,389,,,,,4.648841857910156,0.39355549216270447
9,389,,,2.0111377239227295,0.25310516357421875,,
10,428,,,,,4.825224876403809,0.3977883458137512
10,428,,,2.0042569637298584,0.2807959020137787,,
11,467,,,,,4.6921186447143555,0.3918408155441284
11,467,,,2.1140732765197754,0.31781619787216187,,
12,506,,,,,4.581245422363281,0.3884795904159546
12,506,,,2.054649829864502,0.35571056604385376,,
13,545,,,,,4.508144855499268,0.39343035221099854
13,545,,,1.795237421989441,0.37860116362571716,,
14,584,,,,,4.308563232421875,0.39652982354164124
14,584,,,1.8242026567459106,0.3797461986541748,,
15,623,,,,,4.397861957550049,0.3994695246219635
15,623,,,1.842329740524292,0.3779604136943817,,
16,662,,,,,4.2303266525268555,0.4020940065383911
16,662,,,1.6882132291793823,0.42065462470054626,,
17,701,,,,,4.329005718231201,0.407379150390625
17,701,,,1.7813059091567993,0.40951958298683167,,
18,740,,,,,4.292068004608154,0.4141461253166199
18,740,,,1.774248719215393,0.41666123270988464,,
19,779,,,,,4.216707706451416,0.4141761362552643
19,779,,,1.827752947807312,0.4290228486061096,,
20,818,,,,,4.237059116363525,0.4168393909931183
20,818,,,1.8034197092056274,0.4248625934123993,,
21,857,,,,,4.218057632446289,0.41873398423194885
21,857,,,1.715378761291504,0.4267026484012604,,
22,896,,,,,4.1505255699157715,0.41743290424346924
22,896,,,1.7353811264038086,0.4326925575733185,,
23,935,,,,,4.148752689361572,0.42372533679008484
23,935,,,1.7667897939682007,0.44739267230033875,,
24,974,,,,,4.069754600524902,0.4214504063129425
24,974,,,1.596313714981079,0.44981881976127625,,
25,1013,,,,,4.125659465789795,0.4275147616863251
25,1013,,,1.7027298212051392,0.4557686448097229,,
26,1052,,,,,4.148532867431641,0.4280377924442291
26,1052,,,1.7334606647491455,0.4374520778656006,,
27,1091,,,,,4.323119163513184,0.43062907457351685
27,1091,,,1.7222217321395874,0.43631789088249207,,
28,1130,,,,,4.325381278991699,0.42917388677597046
28,1130,,,1.7842727899551392,0.4396790862083435,,
29,1169,,,,,4.090695381164551,0.42691388726234436
29,1169,,,1.6538594961166382,0.46576616168022156,,
30,1208,,,,,4.118733882904053,0.42966407537460327
30,1208,,,1.7989145517349243,0.43840011954307556,,
31,1247,,,,,4.169623374938965,0.4312923848628998
31,1247,,,1.7733447551727295,0.4735131859779358,,
32,1286,,,,,3.9972519874572754,0.4315285086631775
32,1286,,,1.7062280178070068,0.44887834787368774,,
33,1325,,,,,4.09429931640625,0.43425554037094116
33,1325,,,1.7664804458618164,0.46175506711006165,,
34,1364,,,,,4.2840704917907715,0.43725115060806274
34,1364,,,1.724739670753479,0.46870484948158264,,
35,1403,,,,,4.071966171264648,0.43504995107650757
35,1403,,,1.7055182456970215,0.4739110469818115,,
36,1442,,,,,4.014901638031006,0.4367499351501465
36,1442,,,1.7361475229263306,0.4736902415752411,,
37,1481,,,,,4.0023674964904785,0.44209685921669006
37,1481,,,1.6613689661026,0.4708370268344879,,
38,1520,,,,,4.024519443511963,0.4420927166938782
38,1520,,,1.7685867547988892,0.4452052116394043,,
39,1559,,,,,4.239070892333984,0.4448641836643219
39,1559,,,1.7087390422821045,0.4779573082923889,,
40,1598,,,,,4.269505500793457,0.44470980763435364
40,1598,,,1.6526018381118774,0.5015835762023926,,
41,1637,,,,,4.117105007171631,0.4441889524459839
41,1637,,,1.5705525875091553,0.5048021674156189,,
42,1676,,,,,4.13151741027832,0.44094789028167725
42,1676,,,1.6237196922302246,0.49040770530700684,,
43,1715,,,,,4.1923909187316895,0.43669018149375916
43,1715,,,1.7335549592971802,0.49409738183021545,,
44,1754,,,,,4.164844036102295,0.4350805878639221
44,1754,,,1.6768133640289307,0.479556143283844,,
45,1793,,,,,4.043799877166748,0.4344819486141205
45,1793,,,1.5747401714324951,0.4995937943458557,,
46,1832,,,,,4.142401218414307,0.434341162443161
46,1832,,,1.6151868104934692,0.4979862868785858,,
47,1871,,,,,4.150763988494873,0.4343774616718292
47,1871,,,1.5668622255325317,0.5028440356254578,,
48,1910,,,,,4.318660736083984,0.4330597221851349
48,1910,,,1.6181530952453613,0.522139310836792,,
49,1949,,,,,4.272007942199707,0.43377670645713806
49,1949,,,1.526781678199768,0.48896291851997375,,
50,1988,,,,,4.087024688720703,0.4326142966747284
50,1988,,,1.612882375717163,0.5281923413276672,,
51,2027,,,,,3.9687302112579346,0.43136754631996155
51,2027,,,1.5946571826934814,0.495185524225235,,
52,2066,,,,,3.994689464569092,0.43031150102615356
52,2066,,,1.6042298078536987,0.5011027455329895,,
53,2105,,,,,3.9802238941192627,0.43420323729515076
53,2105,,,1.6507500410079956,0.5120033025741577,,
54,2144,,,,,3.9896204471588135,0.4323651194572449
54,2144,,,1.6007633209228516,0.5138600468635559,,
55,2183,,,,,4.019374370574951,0.4324764013290405
