epoch,train_loss,val_loss,train_pcc,val_pcc
1,2.9642322063446045,7.607421875,0.03648022189736366,-0.08302049338817596
2,2.7323760986328125,7.429646968841553,0.10969587415456772,-0.05583944544196129
3,2.7256076335906982,7.439630508422852,0.2874484658241272,-0.0593281164765358
4,2.400212287902832,7.491879940032959,0.36098620295524597,-0.041726019233465195
5,2.1980459690093994,7.5097808837890625,0.4467940330505371,-0.016705268993973732
6,2.1541709899902344,7.549810886383057,0.43213510513305664,-0.008715344592928886
7,1.9995436668395996,7.563024044036865,0.47218453884124756,0.007535084616392851
8,2.1062114238739014,7.562282085418701,0.48354968428611755,0.024584250524640083
9,2.1411592960357666,7.530484199523926,0.4591137170791626,0.03490496799349785
10,1.9527535438537598,7.516149520874023,0.5038662552833557,0.04237991198897362
11,1.962938666343689,7.5287933349609375,0.5259414315223694,0.042537566274404526
12,1.7752960920333862,7.5603108406066895,0.5232970118522644,0.03228467330336571
13,1.9503350257873535,7.581312656402588,0.49713245034217834,0.0321100614964962
14,1.7379229068756104,7.535470008850098,0.5497836470603943,0.047489553689956665
15,1.7923420667648315,7.529713153839111,0.5170327425003052,0.04886400327086449
16,1.9668549299240112,7.582520008087158,0.5415424108505249,0.0369124673306942
17,1.7431268692016602,7.566762447357178,0.5417054891586304,0.04215415567159653
18,1.8026186227798462,7.543290615081787,0.5747855305671692,0.05178864672780037
19,1.8639920949935913,7.576755046844482,0.5292767882347107,0.04219122603535652
20,1.729602336883545,7.562605857849121,0.5629362463951111,0.0428394079208374
21,1.7039364576339722,7.566888809204102,0.5894951820373535,0.04591163620352745
22,1.7175278663635254,7.597291469573975,0.563622772693634,0.039050981402397156
23,1.6758264303207397,7.624770641326904,0.5980149507522583,0.028824741020798683
24,1.7693027257919312,7.638959884643555,0.5638132691383362,0.028397124260663986
25,1.634127140045166,7.612855911254883,0.5940596461296082,0.03050587885081768
26,1.65645432472229,7.576858043670654,0.5866915583610535,0.03905518725514412
27,1.6847202777862549,7.532064914703369,0.5529183149337769,0.05542701482772827
28,1.7526872158050537,7.514054298400879,0.6006052494049072,0.05971510335803032
29,1.7216243743896484,7.551466464996338,0.5903183817863464,0.04849265143275261
30,1.7124441862106323,7.5240278244018555,0.5887846946716309,0.058145228773355484
31,1.6991593837738037,7.548892021179199,0.5691497325897217,0.0504782609641552
32,1.7473775148391724,7.5780229568481445,0.5676723718643188,0.04288420453667641
33,1.4531234502792358,7.614410400390625,0.6245081424713135,0.03411080315709114
34,1.59882652759552,7.696414947509766,0.5746800303459167,0.006565225776284933
35,1.66135835647583,7.660914421081543,0.6240250468254089,0.021239792928099632
36,1.6973696947097778,7.701157093048096,0.6027638912200928,0.016215981915593147
37,1.7193655967712402,7.674266338348389,0.6264363527297974,0.020863162353634834
38,1.6147948503494263,7.663873672485352,0.6023213267326355,0.02373557724058628
39,1.634946346282959,7.6919050216674805,0.5990686416625977,0.01663069985806942
40,1.4596266746520996,7.681553840637207,0.6123781204223633,0.01407155767083168
41,1.70509934425354,7.6451239585876465,0.6201614141464233,0.03213341906666756
42,1.5440659523010254,7.656672477722168,0.6198947429656982,0.028372831642627716
43,1.65387761592865,7.67094087600708,0.6165063381195068,0.023918332532048225
44,1.5543503761291504,7.6694231033325195,0.6174531579017639,0.025535088032484055
45,1.6430068016052246,7.70127534866333,0.5830216407775879,0.017384018748998642
46,1.5594327449798584,7.741408348083496,0.6491422653198242,0.005327917635440826
47,1.5650177001953125,7.687661647796631,0.6393787860870361,0.015660108998417854
48,1.5790810585021973,7.663547515869141,0.6173121929168701,0.02697129361331463
49,1.7187635898590088,7.663227081298828,0.6244615912437439,0.0358315072953701
50,1.7057956457138062,7.705452919006348,0.6365127563476562,0.029921071603894234
51,1.6143248081207275,7.719176769256592,0.6336736083030701,0.016713380813598633
52,1.4054456949234009,7.701016426086426,0.6128474473953247,0.01638658531010151
53,1.5279860496520996,7.730803966522217,0.6342641115188599,0.008446592837572098
54,1.4987239837646484,7.725407600402832,0.637107253074646,0.009268310852348804
55,1.553023099899292,7.70444393157959,0.6357439756393433,0.013381973840296268
56,1.2863355875015259,7.741262435913086,0.6545661687850952,0.0029544516000896692
57,1.4403752088546753,7.737693786621094,0.6390808820724487,0.004923139698803425
58,1.576819658279419,7.654440879821777,0.6516892313957214,0.03551408275961876
59,1.4713162183761597,7.637278079986572,0.6417186260223389,0.04147085174918175
60,1.466513991355896,7.681921005249023,0.6218189001083374,0.021079810336232185
61,1.339487910270691,7.715996742248535,0.6771355867385864,0.016610704362392426
62,1.5214898586273193,7.7262959480285645,0.6538288593292236,0.01148276124149561
63,1.381064534187317,7.716155529022217,0.6478424072265625,0.01957203634083271
64,1.3973430395126343,7.739732265472412,0.685549795627594,0.010070700198411942
65,1.4546045064926147,7.778149604797363,0.6444959044456482,0.0027116809505969286
66,1.6062307357788086,7.703388690948486,0.6349124908447266,0.015321044251322746
67,1.6012978553771973,7.725369930267334,0.6564332246780396,0.017171205952763557
68,1.5190850496292114,7.693844795227051,0.6099986433982849,0.020183980464935303
69,1.3660500049591064,7.71998929977417,0.6555668115615845,0.018787425011396408
70,1.5732548236846924,7.77293586730957,0.6462634205818176,6.605837552342564e-05
71,1.4836710691452026,7.789625644683838,0.6552394032478333,-0.0036352919414639473
72,1.6474257707595825,7.682655334472656,0.6464444398880005,0.02459663897752762
73,1.5656931400299072,7.673099040985107,0.6529192924499512,0.03233879804611206
74,1.5266900062561035,7.659081935882568,0.6753946542739868,0.041398514062166214
75,1.3058534860610962,7.703932285308838,0.7061025500297546,0.027825728058815002
76,1.476007342338562,7.738775730133057,0.6563649773597717,0.013170769438147545
77,1.4830255508422852,7.69379186630249,0.6378614902496338,0.021122589707374573
78,1.4412474632263184,7.6873779296875,0.6719253063201904,0.026376957073807716
79,1.5114439725875854,7.631017208099365,0.6481070518493652,0.04194081574678421
80,1.520348072052002,7.598769187927246,0.6754674911499023,0.05327275022864342
81,1.4243429899215698,7.605539798736572,0.6651362180709839,0.04652857035398483
82,1.5200361013412476,7.661306381225586,0.6379140019416809,0.03730455040931702
83,1.3205941915512085,7.714723110198975,0.6699861884117126,0.0209045372903347
84,1.414316177368164,7.7194929122924805,0.6734403371810913,0.018038209527730942
85,1.3069186210632324,7.707903861999512,0.6978057026863098,0.02103511057794094
86,1.429758071899414,7.646701812744141,0.67340487241745,0.04097016155719757
87,1.5277377367019653,7.622892379760742,0.646235466003418,0.04367544502019882
88,1.3832658529281616,7.523232460021973,0.6578119993209839,0.07229343056678772
89,1.3929067850112915,7.573060512542725,0.6688024997711182,0.05468963459134102
90,1.4816545248031616,7.5864949226379395,0.6745726466178894,0.05847954377532005
91,1.268920660018921,7.548122406005859,0.672375500202179,0.07079368829727173
92,1.3613797426223755,7.543878078460693,0.704658031463623,0.06972477585077286
93,1.3799490928649902,7.5271759033203125,0.6872668266296387,0.07688286900520325
94,1.464753270149231,7.4996562004089355,0.6826560497283936,0.08490348607301712
95,1.3987376689910889,7.535333156585693,0.6489971876144409,0.06683366745710373
96,1.4184445142745972,7.492068290710449,0.6828381419181824,0.08351393789052963
97,1.4371116161346436,7.4871134757995605,0.6790558695793152,0.09089046716690063
98,1.3837850093841553,7.518858909606934,0.6759084463119507,0.07762414216995239
99,1.3689509630203247,7.569545745849609,0.6752647757530212,0.05995989218354225
100,1.3561421632766724,7.628295421600342,0.6790832877159119,0.05035097151994705
101,1.3409048318862915,7.634134292602539,0.66825932264328,0.04585015028715134
102,1.3679760694503784,7.628621578216553,0.6760101318359375,0.048028670251369476
103,1.4443212747573853,7.638429641723633,0.6635589599609375,0.04543151706457138
104,1.2893471717834473,7.658810138702393,0.682135820388794,0.038024336099624634
105,1.425376057624817,7.675741672515869,0.6787506937980652,0.037341728806495667
106,1.396799921989441,7.655698299407959,0.6781655550003052,0.03790181875228882
107,1.3352594375610352,7.683382987976074,0.6734111905097961,0.026406913995742798
108,1.3598467111587524,7.6397271156311035,0.6845975518226624,0.03964610397815704
109,1.2734508514404297,7.638739109039307,0.7069319486618042,0.04809391126036644
110,1.393006443977356,7.612355709075928,0.6713553071022034,0.048687148839235306
111,1.4591853618621826,7.5656280517578125,0.6554152965545654,0.05669230595231056
112,1.2635010480880737,7.535239219665527,0.7127290368080139,0.07044027745723724
113,1.305496335029602,7.553372383117676,0.7064037322998047,0.06865021586418152
114,1.3237367868423462,7.545170307159424,0.6669437885284424,0.0658290684223175
115,1.2400431632995605,7.549655437469482,0.6802343130111694,0.06714344024658203
116,1.4002976417541504,7.5228424072265625,0.6981797814369202,0.08258578926324844
117,1.3640596866607666,7.513740062713623,0.6603559255599976,0.08347693085670471
118,1.383304238319397,7.489551067352295,0.7071380615234375,0.08690876513719559
119,1.383888602256775,7.500322341918945,0.6652623414993286,0.08224854618310928
120,1.4063936471939087,7.449653148651123,0.6739456057548523,0.09910298883914948
121,1.3689157962799072,7.535599708557129,0.695493757724762,0.07732230424880981
122,1.3049705028533936,7.5850324630737305,0.6868495345115662,0.06140705570578575
123,1.3412904739379883,7.5973219871521,0.6890156865119934,0.06404277682304382
124,1.387087345123291,7.476016044616699,0.6792811155319214,0.09351708739995956
125,1.3156051635742188,7.450451374053955,0.7011331915855408,0.10040434449911118
126,1.1934071779251099,7.50252103805542,0.7051077485084534,0.0901397317647934
127,1.2126976251602173,7.584067344665527,0.6805742979049683,0.06538017094135284
128,1.4496774673461914,7.526628017425537,0.6879087090492249,0.08255314826965332
129,1.2750794887542725,7.566746711730957,0.7050963640213013,0.0773065835237503
130,1.3489172458648682,7.584587097167969,0.6762210726737976,0.06841381639242172
131,1.3519693613052368,7.532347202301025,0.6877653002738953,0.07991121709346771
132,1.1956170797348022,7.627993106842041,0.7344412207603455,0.056255534291267395
133,1.3980991840362549,7.619015216827393,0.6854208707809448,0.05892878770828247
134,1.3058497905731201,7.570915222167969,0.7017545700073242,0.06714058667421341
