epoch,step,test_loss,test_pcc,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,38,,,,,1.646725058555603,-0.09018899500370026
0,38,,,1.3153260946273804,0.004832338076084852,,
1,77,,,,,1.6391351222991943,-0.017199669033288956
1,77,,,1.3256959915161133,0.07448495179414749,,
2,116,,,,,1.6437456607818604,0.008320148102939129
2,116,,,1.2994623184204102,0.20269083976745605,,
3,155,,,,,1.628594994544983,0.005709672346711159
3,155,,,1.2489389181137085,0.3602938652038574,,
4,194,,,,,1.6209007501602173,0.006086686626076698
4,194,,,1.184838056564331,0.4046380817890167,,
5,233,,,,,1.6477221250534058,0.030520904809236526
5,233,,,1.1830635070800781,0.4408871531486511,,
6,272,,,,,1.595876693725586,0.06391400098800659
6,272,,,1.1809766292572021,0.4767269194126129,,
7,311,,,,,1.5813599824905396,0.09162570536136627
7,311,,,1.137468934059143,0.48157957196235657,,
8,350,,,,,1.5949784517288208,0.09455244988203049
8,350,,,1.0905286073684692,0.5099757313728333,,
9,389,,,,,1.6037737131118774,0.09885193407535553
9,389,,,1.0806233882904053,0.5224729776382446,,
10,428,,,,,1.5906249284744263,0.05547522008419037
10,428,,,1.0463448762893677,0.5327830910682678,,
11,467,,,,,1.5911880731582642,0.042213357985019684
11,467,,,1.0566941499710083,0.5224336385726929,,
12,506,,,,,1.5968568325042725,0.04623550921678543
12,506,,,1.0649060010910034,0.5432707667350769,,
13,545,,,,,1.5953117609024048,0.017927000299096107
13,545,,,1.0269685983657837,0.5577700138092041,,
14,584,,,,,1.5800141096115112,0.03618064895272255
14,584,,,1.0452553033828735,0.5581510066986084,,
15,623,,,,,1.5807420015335083,0.04763451963663101
15,623,,,1.0482826232910156,0.530218780040741,,
16,662,,,,,1.5781478881835938,0.028777390718460083
16,662,,,1.0367335081100464,0.5303525924682617,,
17,701,,,,,1.58257257938385,0.03167744353413582
17,701,,,1.0408296585083008,0.5555272102355957,,
18,740,,,,,1.5693708658218384,0.032792095094919205
18,740,,,1.017218828201294,0.5656647682189941,,
19,779,,,,,1.5817394256591797,0.04624651372432709
19,779,,,1.037614107131958,0.5637341737747192,,
20,818,,,,,1.5671882629394531,0.04818626120686531
20,818,,,0.9885658621788025,0.6135987639427185,,
21,857,,,,,1.5678937435150146,0.0570913590490818
21,857,,,1.0153411626815796,0.6102162599563599,,
22,896,,,,,1.5747922658920288,0.042532965540885925
22,896,,,0.985977828502655,0.6201647520065308,,
23,935,,,,,1.5685571432113647,0.058147087693214417
23,935,,,1.0156328678131104,0.5857300758361816,,
24,974,,,,,1.5853184461593628,0.03297090902924538
24,974,,,1.0233222246170044,0.5973818898200989,,
25,1013,,,,,1.578261375427246,0.021767066791653633
25,1013,,,0.9760491847991943,0.5902495980262756,,
26,1052,,,,,1.578218698501587,0.06484560668468475
26,1052,,,0.9836811423301697,0.6133989095687866,,
27,1091,,,,,1.5787148475646973,0.04600917175412178
27,1091,,,0.9792814254760742,0.6220170259475708,,
28,1130,,,,,1.5890175104141235,0.007900255732238293
28,1130,,,1.0200774669647217,0.6123533248901367,,
29,1169,,,,,1.5992295742034912,0.025398680940270424
29,1169,,,0.9749314785003662,0.6419317126274109,,
30,1208,,,,,1.5886512994766235,0.048946037888526917
30,1208,,,0.981644868850708,0.6426211595535278,,
31,1247,,,,,1.5754526853561401,0.04091581329703331
31,1247,,,0.975744366645813,0.6452800631523132,,
32,1286,,,,,1.565807580947876,0.08928753435611725
32,1286,,,0.983057975769043,0.6217057704925537,,
33,1325,,,,,1.5757999420166016,0.05406392365694046
33,1325,,,0.9724389910697937,0.6542225480079651,,
34,1364,,,,,1.5683945417404175,0.06252285093069077
34,1364,,,0.9433814883232117,0.6184341907501221,,
35,1403,,,,,1.5708248615264893,0.024938181042671204
35,1403,,,0.9461126923561096,0.6610798239707947,,
36,1442,,,,,1.5647008419036865,0.03624724596738815
36,1442,,,0.946412980556488,0.6469874978065491,,
37,1481,,,,,1.579399585723877,0.025704191997647285
37,1481,,,0.9582063555717468,0.6148866415023804,,
38,1520,,,,,1.5693180561065674,0.04542692005634308
38,1520,,,0.9704602360725403,0.6233161091804504,,
39,1559,,,,,1.5702013969421387,0.04060564935207367
39,1559,,,0.9675784111022949,0.6192957162857056,,
40,1598,,,,,1.5709820985794067,0.038668423891067505
40,1598,,,0.9315576553344727,0.647345781326294,,
41,1637,,,,,1.5729621648788452,0.0190849881619215
41,1637,,,0.9320996403694153,0.6364029049873352,,
42,1676,,,,,1.583137035369873,0.017159702256321907
42,1676,,,0.960871696472168,0.619735836982727,,
43,1715,,,,,1.5746692419052124,0.015930529683828354
43,1715,,,0.9579234719276428,0.6508419513702393,,
44,1754,,,,,1.5729358196258545,0.017152970656752586
44,1754,,,0.9230127334594727,0.6455989480018616,,
45,1793,,,,,1.574577808380127,0.008366948924958706
45,1793,,,0.9533602595329285,0.6197720766067505,,
46,1832,,,,,1.581972599029541,0.03369302675127983
46,1832,,,0.9551498293876648,0.6304166913032532,,
47,1871,,,,,1.5680351257324219,0.03646057844161987
47,1871,,,0.9307228326797485,0.6680973172187805,,
48,1910,,,,,1.5823558568954468,-0.004106108099222183
48,1910,,,0.9481515884399414,0.6383787393569946,,
49,1949,,,,,1.5686577558517456,0.03941014036536217
49,1949,,,0.9497637748718262,0.6588512063026428,,
50,1988,,,,,1.5819159746170044,0.005791943054646254
50,1988,,,0.9442881345748901,0.6475290060043335,,
51,2027,,,,,1.5858728885650635,0.023974139243364334
51,2027,,,0.9147009253501892,0.6363553404808044,,
52,2066,,,,,1.5772851705551147,0.023957164958119392
52,2066,,,0.9454672336578369,0.6521100997924805,,
53,2105,,,,,1.5790961980819702,0.020496560260653496
53,2105,,,0.9083133339881897,0.6639939546585083,,
54,2144,,,,,1.5785269737243652,0.0206768698990345
54,2144,,,0.8686959743499756,0.6846212148666382,,
55,2183,,,,,1.5803672075271606,0.01644173078238964
55,2183,,,0.9137668013572693,0.6750491857528687,,
56,2222,,,,,1.5866427421569824,-0.022017640992999077
56,2222,,,0.8930221199989319,0.6425100564956665,,
57,2261,,,,,1.5794098377227783,-0.00042706169188022614
57,2261,,,0.8865652084350586,0.6565237045288086,,
58,2300,,,,,1.5835756063461304,-0.01995432935655117
58,2300,,,0.9309617877006531,0.6380907893180847,,
59,2339,,,,,1.5888766050338745,-0.00849133264273405
59,2339,,,0.924383282661438,0.6705173254013062,,
60,2378,,,,,1.5839154720306396,-0.005309860222041607
60,2378,,,0.9517698884010315,0.6434823870658875,,
61,2417,,,,,1.5812503099441528,0.0022014854475855827
61,2417,,,0.9215078949928284,0.679400622844696,,
62,2456,,,,,1.58072829246521,0.004719591233879328
62,2456,,,0.8797419667243958,0.6658228635787964,,
63,2495,,,,,1.5739325284957886,0.019834835082292557
63,2495,,,0.8786135911941528,0.6860966086387634,,
64,2534,,,,,1.5802892446517944,-0.02079879492521286
64,2534,,,0.9254868626594543,0.6534993052482605,,
65,2573,,,,,1.584771990776062,0.004794762469828129
65,2573,,,0.9091116189956665,0.6524351239204407,,
66,2612,,,,,1.5852795839309692,-0.0005560396239161491
66,2612,,,0.9026444554328918,0.6870724558830261,,
67,2651,,,,,1.5776773691177368,0.022757060825824738
67,2651,,,0.8787444829940796,0.677988588809967,,
68,2690,,,,,1.5874625444412231,-0.009348263032734394
68,2690,,,0.9198105931282043,0.661701500415802,,
69,2729,,,,,1.5965832471847534,-0.007148325443267822
69,2729,,,0.8644230961799622,0.6748971343040466,,
70,2768,,,,,1.5863866806030273,-0.026949141174554825
70,2768,,,0.8455604910850525,0.6975734829902649,,
71,2807,,,,,1.6003299951553345,-0.008405431173741817
71,2807,,,0.8460400104522705,0.7058454155921936,,
72,2846,,,,,1.5824347734451294,0.0041819969192147255
72,2846,,,0.8773674368858337,0.6732082366943359,,
73,2885,,,,,1.6010912656784058,-0.035919252783060074
73,2885,,,0.8670445680618286,0.6911436915397644,,
74,2924,,,,,1.5931167602539062,0.003518585115671158
74,2924,,,0.9203094840049744,0.6479464173316956,,
75,2963,,,,,1.5862945318222046,0.0038076585624367
75,2963,,,0.9022441506385803,0.659550666809082,,
76,3002,,,,,1.5949301719665527,-0.009779499843716621
76,3002,,,0.8784224390983582,0.6832247972488403,,
77,3041,,,,,1.5812246799468994,-0.019640395417809486
77,3041,,,0.8730425834655762,0.6898000836372375,,
78,3080,,,,,1.5939991474151611,-0.046769022941589355
78,3080,,,0.8455410599708557,0.7041898965835571,,
79,3119,,,,,1.594435691833496,-0.05115336924791336
79,3119,,,0.8852436542510986,0.691954493522644,,
80,3158,,,,,1.589959979057312,-0.027044503018260002
80,3158,,,0.8665018081665039,0.7052468061447144,,
81,3197,,,,,1.607169508934021,0.00897624809294939
81,3197,,,0.8677221536636353,0.7033259272575378,,
82,3236,,,,,1.5872342586517334,-0.025896038860082626
82,3236,,,0.8606025576591492,0.690496027469635,,
83,3275,,,,,1.5945537090301514,-0.03184690326452255
83,3275,,,0.8454359173774719,0.6780615448951721,,
84,3314,,,,,1.5790208578109741,-0.0026111393235623837
84,3314,,,0.8757905960083008,0.703341543674469,,
85,3353,,,,,1.6101479530334473,-0.0429726243019104
85,3353,,,0.8690007328987122,0.7082728147506714,,
86,3392,,,,,1.5913259983062744,-0.005599783267825842
86,3392,,,0.8645509481430054,0.7124328017234802,,
87,3431,,,,,1.6070114374160767,-0.014877676963806152
87,3431,,,0.8469669818878174,0.7160990834236145,,
88,3470,,,,,1.5871344804763794,-0.015894275158643723
88,3470,,,0.8696673512458801,0.6846552491188049,,
89,3509,,,,,1.591813325881958,-0.019076135009527206
89,3509,,,0.8455491662025452,0.6769582033157349,,
90,3548,,,,,1.5920028686523438,-0.021538101136684418
90,3548,,,0.865343451499939,0.715122401714325,,
91,3587,,,,,1.590251088142395,-0.04287787154316902
91,3587,,,0.8764611482620239,0.7001840472221375,,
92,3626,,,,,1.6030930280685425,-0.03401554375886917
92,3626,,,0.8560740351676941,0.6988862752914429,,
93,3665,,,,,1.5911388397216797,-0.030935360118746758
93,3665,,,0.8276020884513855,0.7183042168617249,,
94,3704,,,,,1.5938565731048584,-0.04133041948080063
94,3704,,,0.8209031820297241,0.7199280858039856,,
95,3743,,,,,1.5984512567520142,-0.057090677320957184
95,3743,,,0.8433114290237427,0.7198057770729065,,
96,3782,,,,,1.5965551137924194,-0.05515150725841522
96,3782,,,0.8485467433929443,0.724657416343689,,
97,3821,,,,,1.5895650386810303,-0.015693387016654015
97,3821,,,0.8549372553825378,0.7207964658737183,,
98,3860,,,,,1.6069835424423218,-0.029105614870786667
98,3860,,,0.8450229167938232,0.7142851948738098,,
99,3899,,,,,1.5889116525650024,-0.028550995513796806
99,3899,,,0.8330926299095154,0.7157037854194641,,
100,3938,,,,,1.6058084964752197,-0.0556485541164875
100,3938,,,0.839968740940094,0.737155020236969,,
101,3977,,,,,1.5980496406555176,-0.02633664198219776
101,3977,,,0.8509648442268372,0.6938210725784302,,
102,4016,,,,,1.600609540939331,-0.07121430337429047
102,4016,,,0.8222166299819946,0.6999961733818054,,
103,4055,,,,,1.5972185134887695,-0.025600964203476906
103,4055,,,0.8142756819725037,0.7191023230552673,,
104,4094,,,,,1.5966416597366333,-0.06720052659511566
104,4094,,,0.7933636903762817,0.7522707581520081,,
105,4133,,,,,1.5875517129898071,-0.045201439410448074
105,4133,,,0.8746883869171143,0.7092762589454651,,
106,4172,,,,,1.5950826406478882,-0.034709323197603226
106,4172,,,0.8135443925857544,0.719335675239563,,
107,4211,,,,,1.5940762758255005,-0.05221397802233696
107,4211,,,0.8256739974021912,0.7151263952255249,,
108,4250,,,,,1.6110966205596924,-0.0706562027335167
108,4250,,,0.8541491627693176,0.6946028470993042,,
109,4289,,,,,1.6139758825302124,-0.08523749560117722
109,4289,,,0.8446536064147949,0.7175458073616028,,
110,4328,,,,,1.5896224975585938,-0.03835897520184517
110,4328,,,0.8293887376785278,0.7064298391342163,,
111,4367,,,,,1.5954922437667847,-0.06334129720926285
111,4367,,,0.7986774444580078,0.7382141351699829,,
112,4406,,,,,1.6023322343826294,-0.06822779774665833
112,4406,,,0.8052838444709778,0.7241978049278259,,
113,4445,,,,,1.5968326330184937,-0.05987727269530296
113,4445,,,0.837364673614502,0.7110323309898376,,
114,4484,,,,,1.5968449115753174,-0.057380132377147675
114,4484,,,0.8066689968109131,0.7184770107269287,,
115,4523,,,,,1.608024001121521,-0.07688457518815994
115,4523,,,0.8381077647209167,0.7206924557685852,,
116,4562,,,,,1.5939161777496338,-0.03587310388684273
116,4562,,,0.8388022184371948,0.6889725923538208,,
117,4601,,,,,1.604636788368225,-0.04040922969579697
117,4601,,,0.7924197912216187,0.7394081950187683,,
118,4640,,,,,1.6053380966186523,-0.05523218587040901
118,4640,,,0.8048133850097656,0.7375666499137878,,
119,4679,,,,,1.6005781888961792,-0.05658634006977081
119,4679,,,0.8183847069740295,0.7391571998596191,,
120,4718,,,,,1.6005381345748901,-0.06164083257317543
120,4718,,,0.8297311067581177,0.7272754907608032,,
121,4757,,,,,1.5929304361343384,-0.022559192031621933
121,4757,,,0.8375715613365173,0.7251825332641602,,
122,4796,,,,,1.5967737436294556,-0.03099619783461094
122,4796,,,0.8221817016601562,0.7212753295898438,,
123,4835,,,,,1.5888018608093262,-0.05545491352677345
123,4835,,,0.8316346406936646,0.7258560061454773,,
124,4874,,,,,1.5959692001342773,-0.05557302385568619
124,4874,,,0.846002459526062,0.7006439566612244,,
125,4913,,,,,1.6072474718093872,-0.03700515255331993
125,4913,,,0.8080070614814758,0.7284992933273315,,
126,4952,,,,,1.5942487716674805,-0.029422586783766747
126,4952,,,0.8111066818237305,0.7300609350204468,,
127,4991,,,,,1.607525110244751,-0.08010675758123398
127,4991,,,0.8171871304512024,0.706306517124176,,
128,5030,,,,,1.622870922088623,-0.08016723394393921
128,5030,,,0.8256210684776306,0.7211577892303467,,
129,5069,,,,,1.6108760833740234,-0.09724836051464081
129,5069,,,0.7905799746513367,0.7434306740760803,,
130,5108,,,,,1.6150397062301636,-0.09591467678546906
130,5108,,,0.7883505821228027,0.741889476776123,,
131,5147,,,,,1.606255054473877,-0.055737439543008804
131,5147,,,0.8307310938835144,0.720879852771759,,
132,5186,,,,,1.6058329343795776,-0.06263282150030136
132,5186,,,0.8405609130859375,0.712274968624115,,
133,5225,,,,,1.626254677772522,-0.1057136207818985
133,5225,,,0.7861050367355347,0.7423577904701233,,
134,5264,,,,,1.6168277263641357,-0.0936964750289917
134,5264,,,0.817406952381134,0.7331491112709045,,
135,5303,,,,,1.6156964302062988,-0.10848032683134079
135,5303,,,0.7999652624130249,0.7465752363204956,,
