PCC	Loss
0.05219971761107445	7.538917541503906
0.2496723085641861	3.3179771900177
0.13849583268165588	7.383762359619141
0.42048951983451843	1.0603022575378418
0.41847625374794006	3.237163543701172
0.36745861172676086	1.2844902276992798
0.38789886236190796	6.396049976348877
0.3622891306877136	4.209937572479248
0.3526088297367096	3.2671475410461426
0.27841809391975403	5.2512078285217285
0.29994866251945496	1.2653144598007202
0.2151334434747696	6.469481945037842
0.004811429884284735	7.4184651374816895
0.3143039345741272	1.8361716270446777
0.39132875204086304	2.9962422847747803
0.33491185307502747	1.7294481992721558
0.40870562195777893	1.1195018291473389
0.33250877261161804	1.9144434928894043
0.27221107482910156	4.606692314147949
0.3129832446575165	1.7015750408172607
