epoch,step,test_loss,test_pcc,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,40,,,,,5.022609233856201,0.08179402351379395
0,40,,,3.6517434120178223,0.08268663287162781,,
1,81,,,,,4.912600040435791,0.1275233030319214
1,81,,,3.3415420055389404,0.2513544261455536,,
2,122,,,,,4.927915096282959,0.1256171315908432
2,122,,,3.118428945541382,0.3939470052719116,,
3,163,,,,,5.087364196777344,0.14135204255580902
3,163,,,2.796905994415283,0.4524517059326172,,
4,204,,,,,5.2368483543396,0.12717419862747192
4,204,,,2.583590269088745,0.4944952428340912,,
5,245,,,,,5.318734645843506,0.11618582904338837
5,245,,,2.5152106285095215,0.4913414418697357,,
6,286,,,,,5.307644844055176,0.14774666726589203
6,286,,,2.5790581703186035,0.5027159452438354,,
7,327,,,,,5.114949703216553,0.1931278258562088
7,327,,,2.4182353019714355,0.5222955942153931,,
8,368,,,,,5.107834339141846,0.1879550963640213
8,368,,,2.4203145503997803,0.5408274531364441,,
9,409,,,,,5.297811508178711,0.16991111636161804
9,409,,,2.2286577224731445,0.5877776145935059,,
10,450,,,,,5.225332736968994,0.17497789859771729
10,450,,,2.251777172088623,0.5586063265800476,,
11,491,,,,,5.335960865020752,0.16604489088058472
11,491,,,2.048954963684082,0.5634819269180298,,
12,532,,,,,5.539745807647705,0.12605687975883484
12,532,,,2.087186336517334,0.5857214331626892,,
13,573,,,,,5.089596748352051,0.1788169890642166
13,573,,,2.1411476135253906,0.597062885761261,,
14,614,,,,,5.4148054122924805,0.16249175369739532
14,614,,,2.057683229446411,0.5725851058959961,,
15,655,,,,,5.454594135284424,0.1700163185596466
15,655,,,1.9393714666366577,0.6070066094398499,,
16,696,,,,,5.379960536956787,0.19741284847259521
16,696,,,1.8698164224624634,0.6469926834106445,,
17,737,,,,,5.05443811416626,0.1993291676044464
17,737,,,2.0051114559173584,0.6091606020927429,,
18,778,,,,,5.7713165283203125,0.15370643138885498
