epoch,step,train_loss_epoch,train_pcc_epoch,val_loss,val_pcc
0,40,,,7.843855381011963,0.0498424731194973
0,40,3.4121861457824707,0.01967259682714939,,
1,81,,,7.526881694793701,-0.05371445417404175
1,81,2.831197500228882,0.05458805710077286,,
2,122,,,7.596946716308594,-0.09904235601425171
2,122,2.5428106784820557,0.08919640630483627,,
3,163,,,7.498743057250977,-0.061676591634750366
3,163,2.673495292663574,0.20135506987571716,,
4,204,,,7.559914588928223,-0.052830398082733154
4,204,2.803239107131958,0.20498564839363098,,
5,245,,,7.646191120147705,-0.0699351504445076
5,245,2.3157565593719482,0.27327415347099304,,
6,286,,,7.681449890136719,-0.058874908834695816
6,286,2.2240748405456543,0.3469403088092804,,
7,327,,,7.763983726501465,-0.0763244703412056
7,327,2.3860385417938232,0.3570592701435089,,
8,368,,,7.7718706130981445,-0.06273774802684784
8,368,2.2841904163360596,0.37018272280693054,,
9,409,,,7.778519153594971,-0.05615035444498062
9,409,2.2431466579437256,0.39874473214149475,,
10,450,,,7.705137729644775,-0.034830328077077866
10,450,2.1110076904296875,0.3867029845714569,,
11,491,,,7.731686592102051,-0.03778135031461716
11,491,2.3271074295043945,0.40972742438316345,,
12,532,,,7.755069732666016,-0.038741517812013626
12,532,2.1742374897003174,0.4458686113357544,,
13,573,,,7.706469535827637,-0.010679158382117748
13,573,1.9949593544006348,0.5028224587440491,,
14,614,,,7.822448253631592,-0.05562533810734749
14,614,2.2148430347442627,0.4108816087245941,,
15,655,,,7.658050537109375,-0.00015016111137811095
15,655,2.1083383560180664,0.47523167729377747,,
16,696,,,7.670862197875977,-0.007502974011003971
16,696,1.9860090017318726,0.48666515946388245,,
17,737,,,7.780222415924072,-0.04628508538007736
17,737,1.9097927808761597,0.49522650241851807,,
18,778,,,7.544215202331543,0.0421597994863987
18,778,1.9738783836364746,0.4876542389392853,,
19,819,,,7.541540145874023,0.04540106654167175
19,819,2.1711180210113525,0.505862832069397,,
20,860,,,7.588686466217041,0.03368541970849037
20,860,2.0718283653259277,0.48834171891212463,,
21,901,,,7.676076412200928,-0.011677104979753494
21,901,1.9913817644119263,0.49352946877479553,,
22,942,,,7.662680625915527,0.002804769668728113
22,942,1.8989440202713013,0.5494201183319092,,
23,983,,,7.628871440887451,0.012068006210029125
23,983,1.9434419870376587,0.5371768474578857,,
24,1024,,,7.722103118896484,-0.008884956128895283
24,1024,1.7819491624832153,0.547347366809845,,
25,1065,,,7.541289806365967,0.0531109943985939
25,1065,1.9029920101165771,0.5521826148033142,,
26,1106,,,7.679145812988281,0.00655417749658227
26,1106,1.80525541305542,0.5709081888198853,,
27,1147,,,7.605600357055664,0.02607874758541584
27,1147,1.8564099073410034,0.5402992963790894,,
28,1188,,,7.574687957763672,0.039959147572517395
28,1188,1.88829505443573,0.5285019278526306,,
