	run	best_epoch	val_loss_best	last_epoch	val_loss_last
0	1	589	2.723043203353882	689	2.8790173530578613
1	2	327	7.046997547149658	610	7.62511396408081
2	3	352	0.9713139533996582	620	1.07990300655365
3	4	219	6.955564498901367	737	7.733331203460693
4	5	18	0.9044751524925232	659	1.1842851638793943
5	6	46	2.6588354110717773	766	3.027972936630249
6	7	28	4.016651630401611	601	4.50726318359375
7	8	248	5.973692417144775	638	6.466366767883301
8	9	467	4.399331569671631	661	4.695237636566162
9	10	81	2.857584238052368	685	3.15221905708313
10	11	17	4.3964457511901855	622	4.74800968170166
11	12	72	0.9268903732299805	639	1.143708109855652
12	13	21	1.6091405153274536	698	2.326202392578125
13	14	638	7.2822957038879395	738	7.431732654571533
14	15	25	1.5319857597351074	662	2.065244674682617
15	16	24	2.6946213245391846	641	3.461341381072998
16	17	27	1.5877536535263062	621	2.130117893218994
17	18	28	1.0222305059432983	648	1.4401730298995972
18	19	15	1.4910303354263306	608	1.976241946220398
19	20	16	4.346493244171143	622	5.071337699890137
