run	best_epoch	PCC_training_best	PCC_validation_best	Loss_validation_best	PCC_test_best	last_epoch	PCC_training_last	PCC_validation_last	Loss_validation_last	PCC_test_last
1	589	0.7083677241760074	0.4727336672521737	2.723043203353882	0.0681441682976499	689	0.7370773840366076	0.4399757675504356	2.8790173530578613	0.0840433841229243
2	327	0.7120225478600775	0.2289983549606467	7.046997547149658	0.4469104259082409	610	0.7635706962068174	0.1072267875073497	7.62511396408081	0.4215340423011501
3	352	0.7199527423243672	0.4433066537246131	0.9713139533996582	0.1381721191149464	620	0.7433823611667412	0.4182474107610304	1.07990300655365	0.0750470959519424
4	219	0.714118253597001	0.2375697608955219	6.955564498901367	0.4322967920052346	737	0.7270708906886372	0.0720455711110765	7.733331203460693	0.4071572525900931
5	18	0.3712340719574029	0.4757813870824492	0.9044751524925232	0.4896417214017952	659	0.7455049930889036	0.4011492955346339	1.1842851638793943	0.4252983462401052
6	46	0.5519014759089623	0.52112133071903	2.6588354110717773	0.4695045060582247	766	0.6993062666142629	0.4224361886574993	3.027972936630249	0.3936520960177355
7	28	0.5032521635830899	0.4232937827369602	4.016651630401611	0.3798654077048733	601	0.7613983555804875	0.3106579939891929	4.50726318359375	0.262206405642302
8	248	0.7045816135649897	0.4350926088773351	5.973692417144775	0.3603096234820818	638	0.7265298224960822	0.3482212510815521	6.466366767883301	0.324257263932261
9	467	0.6577163814867664	0.3710323163534947	4.399331569671631	0.4185785633805204	661	0.7220711122869399	0.3622903327097502	4.695237636566162	0.4142330673569779
10	81	0.6436111372031614	0.4943274561230928	2.857584238052368	0.3332497816740467	685	0.7596269726731667	0.3882162397061318	3.15221905708313	0.3542956278586959
11	17	0.3965941048183733	0.3293960112192002	4.3964457511901855	0.4470012885228081	622	0.7377957219812864	0.3138602203535593	4.74800968170166	0.4186694588348951
12	72	0.5349778565652428	0.4548806438991138	0.9268903732299804	0.32058095712606	639	0.727869295779635	0.3898700986629669	1.143708109855652	0.3428018877964834
13	21	0.4848551908270521	0.3498663298388245	1.6091405153274536	0.1075976630270354	698	0.7665035651932732	0.3277681573255454	2.326202392578125	0.0752173501456526
14	638	0.7987293233184287	0.2154328285544108	7.2822957038879395	0.3175556954559577	738	0.7593318302279123	0.1894274600018624	7.431732654571533	0.3122765435270976
15	25	0.5158558074525919	0.3873368348523285	1.5319857597351074	0.4977033576149888	662	0.7728860527708523	0.2590229121545636	2.065244674682617	0.3537403595110666
16	24	0.5005929631780333	0.4962893293781825	2.694621324539185	0.3590934999632502	641	0.7546874207317801	0.3716941527672484	3.461341381072998	0.2580781986707002
17	27	0.5075370892637342	0.3630488742883795	1.5877536535263062	0.3652333690831781	621	0.7836490860834889	0.2718216558233704	2.130117893218994	0.2968194381119323
18	28	0.470230298638516	0.3630334005319672	1.0222305059432983	0.3684551076905721	648	0.7322594008274462	0.2222945640614198	1.4401730298995972	0.2747632578066064
19	15	0.4576468849513616	0.4096589789211124	1.4910303354263306	0.3465215408863815	608	0.7800718074776546	0.3248697416841227	1.976241946220398	0.2975538476862468
20	16	0.4971697963567486	0.3333749527978961	4.346493244171143	0.4075183799241692	622	0.7638429314385847	0.3242977473584288	5.071337699890137	0.3390333326830702
